Bel,AteDir,AteDesign,AteClkInst,AteClkPin,FromInst,FromPin,TriInst,TriPin,ToInst,ToPin,ConfigName,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_FAST,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSTL_I_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_SLEW_SLOW,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSTL_I_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_18_SLEW_FAST,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSTL_I_18_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_18_SLEW_SLOW,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSTL_I_18_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_FAST,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSUL_12_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_SLOW,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_HSUL_12_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_FAST,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_SSTL12_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_SLOW,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_SSTL12_DRIVE_UNUSED_SLEW_SLOW,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_FAST,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_SSTL135_DRIVE_UNUSED_SLEW_FAST,
HDIOB_OUTBUF_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hdio_16t_n1/OBUFTDS,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_SLOW,my_ibufclk48,clkin48,fd47,Q,fdt48,T,my_obuf47/N,O,HDIOB_OUTBUF_S_OSTANDARD_DIFF_SSTL135_DRIVE_UNUSED_SLEW_SLOW,
