IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPIN,VREF,DESIGN
44,47,47,47,IO_L7P_HDGC_AD5P_44,IO_L3P_AD9P_47,IO_L1P_AD11P_47,IO_L2P_AD10P_47,0.75,HDIOB_IBUFCTRL_M__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,
44,47,47,47,IO_L7N_HDGC_AD5N_44,IO_L3P_AD9P_47,IO_L1P_AD11P_47,IO_L2P_AD10P_47,0.75,HDIOB_IBUFCTRL_S__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,
