IBANK,TBANK,CBANK,OBANK,INPIN,TSPIN,CLKPIN,OUTPINP,OUTPINN,IOSTANDARD,SLEW,OUTPUT_IMPEDANCE,DESIGN,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_18,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_18_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI_18,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_18_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI_18,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_18_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSTL_I_DCI_18,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSTL_I_DCI_18_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_HSUL_12_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_HSUL_12_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD10_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD10_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_POD12_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_POD12_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL12_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL12_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135_DCI,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_DCI_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135_DCI,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_DCI_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL135_DCI,SLOW,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL135_DCI_SLEW_SLOW_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL15,FAST,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL15_SLEW_FAST_OUTPUT_IMPEDANCE_RDRV_48_48,
65,65,65,64,IO_L14P_T2L_N2_GC_65,IO_L15P_T2L_N4_AD11P_65,IO_L13P_T2L_N0_GC_QBC_65,IO_L1P_T0L_N0_DBC_64,IO_L1N_T0L_N1_DBC_64,DIFF_SSTL15,MEDIUM,RDRV_48_48,OBUFTDS_IOSTANDARD_DIFF_SSTL15_SLEW_MEDIUM_OUTPUT_IMPEDANCE_RDRV_48_48,
