Bel,AteDir,AteInputPin,AteDesign,FromInst,FromPin,ToInst,ToPin,ConfigName,
HPIOB_IBUFCTRL_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_M__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,I,fd65,D,HPIOB_IBUFCTRL_M__IBUFCTRL__I__O__PROPAGATION,
HPIOB_IBUFCTRL_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_M__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,IBUFDISABLE,fd65,D,HPIOB_IBUFCTRL_M__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,
HPIOB_IBUFCTRL_M,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IOBUF,clkin65,HPIOB_IBUFCTRL_M__IBUFCTRL__TRI__O__PROPAGATION,fdt65,Q,my_iobuf64,O,HPIOB_IBUFCTRL_M__IBUFCTRL__TRI__O__PROPAGATION,
HPIOB_IBUFCTRL_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_S__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,I,fd65,D,HPIOB_IBUFCTRL_S__IBUFCTRL__I__O__PROPAGATION,
HPIOB_IBUFCTRL_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_S__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,IBUFDISABLE,fd65,D,HPIOB_IBUFCTRL_S__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,
HPIOB_IBUFCTRL_S,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IOBUF,clkin65,HPIOB_IBUFCTRL_S__IBUFCTRL__TRI__O__PROPAGATION,fdt65,Q,my_iobuf64,O,HPIOB_IBUFCTRL_S__IBUFCTRL__TRI__O__PROPAGATION,
HPIOB_IBUFCTRL_SNGL,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,I,fd65,D,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__I__O__PROPAGATION,
HPIOB_IBUFCTRL_SNGL,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IBUF_IBUFDISABLE,clkin65,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,my_ibuf64/IBUFCTRL_INST,IBUFDISABLE,fd65,D,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__IBUFDISABLE__O__PROPAGATION,
HPIOB_IBUFCTRL_SNGL,/wrk/seg_iob4/diablo/dpeters/simulation/vivado/hpio_16t_n1/IOBUF,clkin65,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__TRI__O__PROPAGATION,fdt65,Q,my_iobuf64,O,HPIOB_IBUFCTRL_SNGL__IBUFCTRL__TRI__O__PROPAGATION,
