BEL,BELINST,FROM/CONTROL/MAIN PIN,TO/DATA/REFERENCE PIN,ARC TYPE,UNATENESS,CFG SETTINGS,DELAY NAME,-1,,-2,,-2LV,,-3,,-5,,
,,,,,,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode361,0.384,0.239,0.364,0.228,0.364,0.228,0.343,0.209,0.288,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode362,0.386,0.240,0.365,0.228,0.365,0.228,0.343,0.209,0.289,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode363,0.360,0.229,0.353,0.214,0.353,0.214,0.333,0.198,0.267,0.164,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode364,0.384,0.239,0.363,0.228,0.363,0.228,0.343,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode365,0.375,0.226,0.377,0.215,0.377,0.215,0.333,0.195,0.275,0.162,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode366,0.384,0.226,0.351,0.215,0.351,0.215,0.341,0.196,0.279,0.163,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode367,0.373,0.226,0.352,0.215,0.352,0.215,0.331,0.195,0.272,0.163,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode368,0.386,0.240,0.364,0.228,0.364,0.228,0.343,0.209,0.289,0.182,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode369,0.384,0.239,0.363,0.228,0.363,0.228,0.342,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode370,0.386,0.240,0.364,0.228,0.364,0.228,0.343,0.209,0.290,0.182,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode371,0.384,0.239,0.364,0.228,0.364,0.228,0.343,0.209,0.288,0.183,
