BEL,BELINST,FROM/CONTROL/MAIN PIN,TO/DATA/REFERENCE PIN,ARC TYPE,UNATENESS,CFG SETTINGS,DELAY NAME,-1,,-2,,-2LV,,-3,,-5,,
,,,,,,,,Max,Min,Max,Min,Max,Min,Max,Min,Max,Min,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode372,0.384,0.239,0.363,0.228,0.363,0.228,0.342,0.209,0.288,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode373,0.386,0.240,0.365,0.228,0.365,0.228,0.343,0.209,0.289,0.176,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode374,0.384,0.239,0.363,0.228,0.363,0.228,0.342,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode375,0.386,0.240,0.365,0.228,0.365,0.228,0.343,0.209,0.289,0.176,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode376,0.385,0.226,0.356,0.215,0.356,0.215,0.320,0.196,0.279,0.162,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=1:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode377,0.384,0.239,0.363,0.228,0.363,0.228,0.343,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[190]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[189]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[188]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[187]=0:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[186]=1:Ihpio_iob27_core_X0Y0_R0/Ihpio_iob27/Iiob_iobpair0/Ipair_atm.mc_cbnet[185]=0:,bel_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__mode378,0.384,0.239,0.363,0.228,0.363,0.228,0.342,0.209,0.287,0.183,
HPIOB_INBUF_SNGL,INBUF,PAD,O,PROPAGATION,POSITIVE,,bel_def_HPIOB_INBUF_SNGL__INBUF__PAD__O__PROPAGATION__1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<0>,SETUP_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_0__SETUP_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<0>,HOLD_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_0__HOLD_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<1>,SETUP_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_1__SETUP_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<1>,HOLD_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_1__HOLD_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<2>,SETUP_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_2__SETUP_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<2>,HOLD_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_2__HOLD_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<3>,SETUP_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_3__SETUP_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,OSC<3>,HOLD_FALLING,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__OSC_3__HOLD_FALLING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC_EN,O,RISING_EDGE,NON,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_EN__O__RISING_EDGE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC<0>,O,PROPAGATION,POSITIVE,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_0__O__PROPAGATION,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC<1>,O,PROPAGATION,POSITIVE,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_1__O__PROPAGATION,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC<2>,O,PROPAGATION,POSITIVE,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_2__O__PROPAGATION,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
HPIOB_INBUF_SNGL,INBUF,OSC<3>,O,PROPAGATION,POSITIVE,,bel_HPIOB_INBUF_SNGL__INBUF__OSC_3__O__PROPAGATION,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,
