IOBANK,TBANK,CBANK,TSPIN,CLKPIN,IOUTPIN,VREF,DESIGN
44,47,47,IO_L3P_AD9P_47,IO_L1P_AD11P_47,IO_L7P_HDGC_AD5P_44,0.75,HDIOB_IBUFCTRL_M__IBUFCTRL__TRI__O__PROPAGATION,
44,47,47,IO_L3P_AD9P_47,IO_L1P_AD11P_47,IO_L7N_HDGC_AD5N_44,0.75,HDIOB_IBUFCTRL_S__IBUFCTRL__TRI__O__PROPAGATION,
